timestamp,azure_region,service_type,demand_units,capacity_allocator,cost_usd,service_availability_pct,customer_demand_urgency,sla_priority_level
2023-01-02 05:00:00,India-South,Storage,410,Hybrid,235.49,97.99,Low,Standard
2023-01-02 06:00:00,India-West,Compute,857,Manual,852.26,99.33,High,Standard
2023-01-02 07:00:00,India-South,Storage,236,Manual,4021.59,98.25,Low,Mission-Critical
2023-01-02 08:00:00,India-South,Compute,574,Hybrid,4314.81,97.34,High,Standard
2023-01-02 09:00:00,US-East,Compute,316,Hybrid,4913.1,99.79,Medium,Premium
2023-01-02 10:00:00,India-West,Storage,295,Hybrid,667.0,98.73,Medium,Standard
2023-01-02 11:00:00,Europe-North,Compute,300,Manual,2679.61,96.25,Medium,Premium
2023-01-02 12:00:00,India-West,Compute,465,Manual,478.06,96.93,Low,Premium
2023-01-02 13:00:00,Europe-North,Storage,818,Auto,866.4,98.8,Low,Premium
2023-01-02 14:00:00,US-East,Storage,627,Auto,955.02,95.1,Low,Premium
2023-01-02 15:00:00,US-West,Compute,499,Manual,410.6,95.32,Low,Standard
2023-01-02 16:00:00,India-South,Storage,624,Manual,4475.6,99.3,Medium,Mission-Critical
2023-01-02 17:00:00,US-East,Storage,689,Auto,719.14,95.21,Medium,Premium
2023-01-02 18:00:00,India-South,Storage,313,Auto,3183.77,98.39,Medium,Mission-Critical
2023-01-02 19:00:00,US-West,Storage,440,Manual,3166.16,96.59,High,Mission-Critical
2023-01-02 20:00:00,US-West,Compute,428,Hybrid,1073.36,99.13,High,Premium
2023-01-02 21:00:00,US-East,Compute,218,Manual,4992.22,99.24,High,Premium
2023-01-02 22:00:00,US-West,Storage,524,Hybrid,1802.1,99.77,Low,Mission-Critical
2023-01-02 23:00:00,Europe-North,Compute,792,Manual,4534.96,95.48,High,Mission-Critical
2023-01-03 00:00:00,US-West,Storage,935,Auto,4746.6,97.11,Medium,Standard
2023-01-03 01:00:00,India-South,Compute,941,Auto,4750.05,97.87,Low,Premium
2023-01-03 02:00:00,India-South,Compute,966,Auto,3788.9,99.58,Low,Standard
2023-01-03 03:00:00,India-South,Storage,472,Manual,1343.64,96.33,High,Premium
2023-01-03 04:00:00,India-South,Storage,748,Manual,691.21,95.36,Low,Mission-Critical
2023-01-03 05:00:00,Europe-North,Compute,278,Manual,2892.44,96.01,Low,Mission-Critical
2023-01-03 06:00:00,India-West,Compute,531,Hybrid,1864.19,97.48,High,Mission-Critical
2023-01-03 07:00:00,US-East,Compute,819,Manual,4172.09,98.41,Medium,Mission-Critical
2023-01-03 08:00:00,India-South,Storage,501,Hybrid,3750.45,98.45,Medium,Standard
2023-01-03 09:00:00,US-West,Compute,493,Hybrid,1454.69,95.37,Medium,Mission-Critical
2023-01-03 10:00:00,India-South,Storage,982,Hybrid,183.37,98.81,High,Standard
2023-01-03 11:00:00,US-West,Storage,665,Auto,1262.85,98.3,Low,Mission-Critical
2023-01-03 12:00:00,US-West,Storage,178,Hybrid,2878.87,97.04,High,Standard
2023-01-03 13:00:00,India-South,Compute,882,Hybrid,487.09,97.86,Low,Premium
2023-01-03 14:00:00,Europe-North,Storage,523,Auto,3325.54,98.84,Medium,Premium
2023-01-03 15:00:00,US-West,Compute,217,Hybrid,3391.31,96.31,Medium,Standard
2023-01-03 16:00:00,US-West,Storage,467,Manual,930.03,99.7,High,Standard
2023-01-03 17:00:00,India-South,Compute,205,Manual,3021.96,95.69,Medium,Premium
2023-01-03 18:00:00,US-West,Compute,204,Auto,3074.16,99.51,High,Premium
2023-01-03 19:00:00,US-West,Storage,402,Auto,2442.09,98.7,Medium,Mission-Critical
2023-01-03 20:00:00,India-South,Storage,729,Hybrid,4770.9,98.3,Medium,Premium
2023-01-03 21:00:00,India-South,Compute,993,Hybrid,630.0,95.41,Medium,Mission-Critical
2023-01-03 22:00:00,US-East,Compute,840,Hybrid,2092.47,99.6,High,Standard
2023-01-03 23:00:00,Europe-North,Storage,247,Auto,4426.31,96.48,Medium,Premium
2023-01-04 00:00:00,Europe-North,Storage,965,Hybrid,1992.94,98.73,High,Mission-Critical
2023-01-04 01:00:00,US-West,Compute,249,Manual,2180.73,99.42,High,Premium
2023-01-04 02:00:00,Europe-North,Compute,915,Manual,3374.54,96.22,Low,Premium
2023-01-04 03:00:00,US-West,Storage,355,Hybrid,3361.26,99.57,Medium,Standard
2023-01-04 04:00:00,US-East,Compute,181,Auto,212.22,98.06,Low,Standard
2023-01-04 05:00:00,India-South,Storage,115,Manual,2332.92,98.3,Low,Standard
2023-01-04 06:00:00,India-South,Storage,292,Auto,1734.21,99.57,High,Standard
2023-01-04 07:00:00,India-South,Storage,822,Manual,3175.71,97.63,Medium,Premium
2023-01-04 08:00:00,Europe-North,Storage,173,Hybrid,2822.94,97.2,Low,Mission-Critical
2023-01-04 09:00:00,US-East,Compute,376,Hybrid,3289.22,98.17,Medium,Standard
2023-01-04 10:00:00,Europe-North,Storage,160,Auto,3303.46,97.77,Medium,Premium
2023-01-04 11:00:00,Europe-North,Storage,635,Hybrid,1348.87,95.31,High,Premium
2023-01-04 12:00:00,US-East,Compute,634,Auto,1307.68,95.9,High,Standard
2023-01-04 13:00:00,US-East,Compute,442,Auto,1914.38,95.07,Low,Standard
2023-01-04 14:00:00,US-East,Storage,494,Manual,1285.6,95.54,Low,Premium
2023-01-04 15:00:00,US-East,Storage,357,Manual,3445.76,98.65,High,Standard
2023-01-04 16:00:00,India-South,Storage,297,Hybrid,3054.04,95.02,Low,Premium
2023-01-04 17:00:00,India-West,Storage,152,Auto,1160.3,96.52,Low,Premium
2023-01-04 18:00:00,India-West,Storage,750,Manual,4432.11,97.25,Medium,Standard
2023-01-04 19:00:00,US-East,Storage,370,Hybrid,2357.25,99.69,Low,Premium
2023-01-04 20:00:00,India-West,Compute,300,Hybrid,722.56,96.64,Low,Standard
2023-01-04 21:00:00,India-West,Compute,495,Manual,1143.53,98.92,Low,Mission-Critical
2023-01-04 22:00:00,US-East,Storage,477,Hybrid,2745.27,97.04,High,Mission-Critical
2023-01-04 23:00:00,India-West,Compute,990,Manual,1758.28,95.49,Medium,Premium
2023-01-05 00:00:00,Europe-North,Compute,775,Auto,4270.99,95.49,Low,Premium
2023-01-05 01:00:00,US-West,Storage,703,Hybrid,2524.2,97.16,High,Standard
2023-01-05 02:00:00,US-West,Compute,634,Auto,4584.94,95.29,Medium,Standard
2023-01-05 03:00:00,US-East,Compute,187,Manual,598.95,97.86,High,Standard
2023-01-05 04:00:00,India-South,Storage,497,Auto,3376.11,97.47,High,Premium
2023-01-05 05:00:00,US-East,Storage,281,Manual,4440.35,98.51,Medium,Premium
2023-01-05 06:00:00,India-South,Storage,966,Hybrid,1535.36,95.93,Medium,Standard
2023-01-05 07:00:00,US-West,Compute,382,Hybrid,764.87,97.96,High,Standard
2023-01-05 08:00:00,US-East,Storage,632,Hybrid,2337.56,95.87,High,Premium
2023-01-05 09:00:00,Europe-North,Compute,660,Auto,4810.54,98.61,Low,Mission-Critical
2023-01-05 10:00:00,India-West,Storage,289,Auto,3203.96,96.54,High,Premium
2023-01-05 11:00:00,India-South,Storage,304,Auto,3255.49,98.07,Medium,Mission-Critical
2023-01-05 12:00:00,India-West,Storage,143,Manual,3390.36,99.41,Medium,Premium
2023-01-05 13:00:00,India-West,Storage,399,Hybrid,294.83,97.44,Medium,Mission-Critical
2023-01-05 14:00:00,US-East,Compute,739,Auto,2283.68,95.96,Medium,Premium
2023-01-05 15:00:00,India-West,Compute,800,Manual,480.1,99.43,High,Standard
2023-01-05 16:00:00,Europe-North,Storage,781,Auto,1647.71,96.79,High,Mission-Critical
2023-01-05 17:00:00,India-West,Compute,378,Manual,4125.84,98.65,Medium,Mission-Critical
2023-01-05 18:00:00,US-East,Storage,812,Hybrid,3315.72,96.6,Medium,Mission-Critical
2023-01-05 19:00:00,Europe-North,Storage,484,Auto,4978.31,96.49,Medium,Premium
2023-01-05 20:00:00,US-West,Compute,736,Hybrid,943.56,98.21,Low,Premium
2023-01-05 21:00:00,India-West,Compute,903,Auto,2045.57,95.78,High,Premium
2023-01-05 22:00:00,US-East,Storage,410,Manual,4067.24,99.33,Medium,Mission-Critical
2023-01-05 23:00:00,US-West,Storage,977,Hybrid,1156.89,96.94,High,Standard
2023-01-06 00:00:00,US-West,Storage,627,Auto,853.24,95.1,Low,Premium
2023-01-06 01:00:00,India-South,Compute,956,Auto,2195.3,96.53,High,Mission-Critical
2023-01-06 02:00:00,Europe-North,Storage,373,Hybrid,1980.26,98.92,Low,Standard
2023-01-06 03:00:00,India-West,Storage,581,Manual,4903.01,99.3,High,Premium
2023-01-06 04:00:00,US-East,Storage,905,Hybrid,2335.63,97.84,Low,Mission-Critical
2023-01-06 05:00:00,India-South,Storage,550,Auto,4318.64,96.47,High,Mission-Critical
2023-01-06 06:00:00,Europe-North,Storage,631,Hybrid,4451.03,97.64,Low,Premium
2023-01-06 07:00:00,India-South,Storage,630,Hybrid,873.57,99.18,Medium,Mission-Critical
2023-01-06 08:00:00,Europe-North,Compute,624,Manual,3604.99,96.58,Medium,Standard
2023-01-06 09:00:00,Europe-North,Storage,116,Manual,1460.27,96.93,High,Standard
2023-01-06 10:00:00,India-West,Storage,817,Hybrid,564.22,97.7,Low,Standard
2023-01-06 11:00:00,Europe-North,Compute,129,Manual,4386.05,99.44,Medium,Standard
2023-01-06 12:00:00,India-South,Compute,569,Manual,1532.92,97.91,High,Premium
2023-01-06 13:00:00,Europe-North,Storage,910,Auto,1792.29,96.04,Low,Mission-Critical
2023-01-06 14:00:00,India-West,Compute,403,Manual,1687.55,95.45,Low,Premium
2023-01-06 15:00:00,India-West,Storage,654,Hybrid,1081.45,95.48,Low,Mission-Critical
2023-01-06 16:00:00,India-South,Compute,192,Hybrid,2229.07,99.75,Low,Mission-Critical
2023-01-06 17:00:00,US-West,Compute,981,Auto,2198.63,99.11,High,Standard
2023-01-06 18:00:00,US-West,Storage,677,Auto,2102.88,98.83,Low,Standard
2023-01-06 19:00:00,Europe-North,Compute,730,Auto,4589.86,97.48,Low,Mission-Critical
2023-01-06 20:00:00,US-East,Storage,920,Hybrid,1764.78,98.36,Medium,Premium
2023-01-06 21:00:00,Europe-North,Compute,683,Hybrid,248.86,95.64,Low,Standard
2023-01-06 22:00:00,India-South,Storage,945,Manual,974.34,98.1,Low,Standard
2023-01-06 23:00:00,India-South,Compute,261,Auto,3635.34,99.05,Low,Premium
2023-01-07 00:00:00,India-South,Storage,941,Manual,2995.21,95.31,Low,Mission-Critical
2023-01-07 01:00:00,India-South,Storage,427,Manual,4763.5,96.48,High,Premium
2023-01-07 02:00:00,India-South,Storage,880,Hybrid,3502.73,95.55,High,Standard
2023-01-07 03:00:00,India-West,Storage,829,Manual,1051.78,96.3,High,Mission-Critical
2023-01-07 04:00:00,US-West,Compute,353,Auto,691.16,98.86,Medium,Mission-Critical
2023-01-07 05:00:00,India-South,Storage,539,Auto,2651.72,96.66,Low,Mission-Critical
2023-01-07 06:00:00,US-East,Compute,670,Hybrid,3359.79,98.45,High,Standard
2023-01-07 07:00:00,US-East,Compute,643,Hybrid,911.62,98.87,High,Standard
2023-01-07 08:00:00,US-East,Storage,950,Hybrid,3048.3,99.08,Medium,Premium
2023-01-07 09:00:00,US-East,Storage,219,Auto,4338.64,99.37,Medium,Mission-Critical
2023-01-07 10:00:00,India-West,Compute,921,Hybrid,3665.09,97.99,Low,Standard
2023-01-07 11:00:00,US-East,Compute,613,Auto,3354.54,96.4,Low,Standard
2023-01-07 12:00:00,India-South,Compute,729,Manual,3967.72,95.75,Low,Mission-Critical
2023-01-07 13:00:00,Europe-North,Storage,648,Hybrid,610.01,97.52,High,Premium
2023-01-07 14:00:00,US-East,Storage,196,Hybrid,1098.77,95.52,Medium,Premium
2023-01-07 15:00:00,India-West,Compute,970,Hybrid,286.69,99.55,High,Mission-Critical
2023-01-07 16:00:00,India-West,Compute,469,Auto,810.39,97.21,Low,Premium
2023-01-07 17:00:00,US-East,Compute,516,Manual,4574.59,99.36,High,Mission-Critical
2023-01-07 18:00:00,Europe-North,Storage,356,Hybrid,1188.51,98.55,Medium,Standard
2023-01-07 19:00:00,US-East,Compute,227,Manual,3344.28,99.29,High,Standard
2023-01-07 20:00:00,India-West,Compute,458,Hybrid,3488.68,99.42,Low,Standard
2023-01-07 21:00:00,US-West,Compute,255,Auto,3262.09,95.27,Low,Premium
2023-01-07 22:00:00,India-South,Compute,756,Manual,2814.21,98.63,Low,Premium
2023-01-07 23:00:00,India-West,Storage,156,Manual,2482.04,96.13,Low,Premium
2023-01-08 00:00:00,US-East,Compute,681,Hybrid,2157.61,99.95,Medium,Premium
2023-01-08 01:00:00,India-South,Storage,655,Manual,4592.8,98.89,Medium,Mission-Critical
2023-01-08 02:00:00,US-East,Storage,823,Auto,146.62,95.02,Low,Premium
2023-01-08 03:00:00,US-East,Compute,786,Manual,362.1,99.64,Medium,Premium
2023-01-08 04:00:00,US-West,Storage,752,Manual,2513.31,96.46,Low,Premium
2023-01-08 05:00:00,India-South,Compute,175,Manual,1719.5,97.08,High,Premium
2023-01-08 06:00:00,India-South,Compute,257,Manual,2100.33,98.06,High,Premium
2023-01-08 07:00:00,US-West,Compute,184,Hybrid,4989.46,99.58,High,Mission-Critical
2023-01-08 08:00:00,India-West,Compute,421,Hybrid,3898.16,99.64,Medium,Standard
2023-01-08 09:00:00,US-East,Compute,408,Manual,4399.3,97.82,Low,Premium
2023-01-08 10:00:00,Europe-North,Storage,629,Manual,1906.02,96.58,High,Standard
2023-01-08 11:00:00,US-East,Storage,383,Auto,1273.85,96.4,Medium,Premium
2023-01-08 12:00:00,US-East,Compute,999,Hybrid,3863.15,96.82,Medium,Premium
2023-01-08 13:00:00,India-West,Storage,141,Hybrid,4057.12,95.9,Medium,Mission-Critical
2023-01-08 14:00:00,US-East,Compute,993,Hybrid,2794.5,98.35,Medium,Standard
2023-01-08 15:00:00,US-West,Storage,984,Manual,4490.11,97.64,Low,Mission-Critical
2023-01-08 16:00:00,US-West,Storage,233,Hybrid,4839.89,98.87,Medium,Standard
2023-01-08 17:00:00,India-South,Compute,713,Auto,2408.0,95.47,Medium,Mission-Critical
2023-01-08 18:00:00,Europe-North,Storage,748,Auto,1191.07,97.0,Low,Mission-Critical
2023-01-08 19:00:00,US-East,Storage,503,Auto,2633.85,96.2,Low,Standard
2023-01-08 20:00:00,US-East,Storage,592,Auto,4948.71,97.68,High,Mission-Critical
2023-01-08 21:00:00,India-West,Compute,321,Auto,1535.34,97.34,Low,Mission-Critical
2023-01-08 22:00:00,US-West,Storage,328,Hybrid,3126.24,97.25,Medium,Premium
2023-01-08 23:00:00,Europe-North,Storage,905,Manual,3500.52,96.58,High,Standard
2023-01-09 00:00:00,India-South,Storage,551,Manual,1148.25,98.63,Low,Mission-Critical
2023-01-09 01:00:00,US-West,Storage,405,Manual,2983.45,97.41,Low,Standard
2023-01-09 02:00:00,India-South,Storage,927,Manual,1641.08,96.01,High,Mission-Critical
2023-01-09 03:00:00,India-West,Storage,218,Hybrid,4285.63,97.74,Low,Mission-Critical
2023-01-09 04:00:00,India-West,Storage,710,Hybrid,3602.29,97.98,High,Premium
2023-01-09 05:00:00,US-East,Storage,961,Hybrid,4148.71,95.11,Medium,Premium
2023-01-09 06:00:00,Europe-North,Storage,423,Auto,1078.44,96.02,Low,Premium
2023-01-09 07:00:00,India-South,Compute,258,Manual,269.42,96.21,Medium,Premium
2023-01-09 08:00:00,US-West,Storage,338,Hybrid,4267.58,96.24,High,Mission-Critical
2023-01-09 09:00:00,India-West,Storage,495,Hybrid,1995.1,96.19,Low,Standard
2023-01-09 10:00:00,US-East,Storage,419,Hybrid,980.64,96.36,Low,Premium
2023-01-09 11:00:00,US-East,Storage,946,Manual,550.29,96.31,Medium,Mission-Critical
2023-01-09 12:00:00,India-South,Storage,288,Manual,2630.85,99.42,High,Premium
2023-01-09 13:00:00,India-West,Compute,408,Auto,835.63,96.6,Low,Mission-Critical
2023-01-09 14:00:00,Europe-North,Compute,348,Auto,2876.79,96.75,Medium,Standard
2023-01-09 15:00:00,India-West,Compute,637,Auto,3663.8,96.33,Medium,Mission-Critical
2023-01-09 16:00:00,India-South,Compute,800,Manual,2721.79,99.84,Low,Premium
2023-01-09 17:00:00,India-South,Storage,605,Auto,4528.13,97.68,Low,Standard
2023-01-09 18:00:00,India-West,Storage,493,Auto,862.29,98.05,High,Mission-Critical
2023-01-09 19:00:00,India-South,Storage,751,Hybrid,2520.37,98.68,Low,Mission-Critical
2023-01-09 20:00:00,India-West,Compute,505,Manual,899.63,96.67,High,Mission-Critical
2023-01-09 21:00:00,US-West,Compute,280,Auto,4391.92,99.84,High,Standard
2023-01-09 22:00:00,India-West,Compute,120,Auto,4667.97,95.76,High,Mission-Critical
2023-01-09 23:00:00,India-West,Compute,774,Manual,2059.98,97.29,High,Mission-Critical
2023-01-10 00:00:00,India-South,Storage,682,Auto,1598.17,95.73,Low,Standard
2023-01-10 01:00:00,India-South,Storage,693,Manual,1468.65,98.95,Low,Mission-Critical
2023-01-10 02:00:00,US-East,Compute,254,Manual,4312.66,95.54,High,Premium
2023-01-10 03:00:00,US-East,Storage,927,Manual,3443.97,97.77,High,Standard
2023-01-10 04:00:00,US-West,Compute,966,Auto,4414.91,95.52,Low,Mission-Critical
2023-01-10 05:00:00,US-East,Compute,658,Auto,675.83,97.26,High,Mission-Critical
2023-01-10 06:00:00,India-West,Compute,293,Auto,2432.54,96.4,Low,Standard
2023-01-10 07:00:00,India-South,Compute,323,Manual,3413.28,99.52,Low,Mission-Critical
2023-01-10 08:00:00,US-East,Storage,498,Auto,4495.74,95.27,Low,Mission-Critical
2023-01-10 09:00:00,US-East,Storage,848,Hybrid,1971.89,98.25,Medium,Standard
2023-01-10 10:00:00,US-West,Compute,379,Manual,1634.14,98.48,Low,Standard
2023-01-10 11:00:00,US-West,Compute,109,Auto,4573.53,99.44,High,Standard
2023-01-10 12:00:00,India-West,Storage,475,Manual,332.91,99.39,Medium,Mission-Critical
2023-01-10 13:00:00,India-South,Storage,571,Auto,2450.02,99.89,High,Mission-Critical
2023-01-10 14:00:00,US-West,Compute,251,Manual,2347.27,96.27,Low,Premium
2023-01-10 15:00:00,US-East,Compute,955,Hybrid,815.68,96.37,Medium,Mission-Critical
2023-01-10 16:00:00,India-South,Compute,715,Manual,2035.26,96.99,Medium,Mission-Critical
2023-01-10 17:00:00,India-South,Compute,223,Manual,3640.74,97.69,High,Standard
2023-01-10 18:00:00,US-East,Compute,796,Manual,1897.66,96.84,High,Standard
2023-01-10 19:00:00,US-West,Storage,901,Auto,1617.34,98.7,Low,Mission-Critical
2023-01-10 20:00:00,US-East,Storage,652,Manual,3931.29,95.04,Medium,Mission-Critical
2023-01-10 21:00:00,India-South,Compute,523,Auto,4944.71,95.09,Low,Standard
2023-01-10 22:00:00,Europe-North,Compute,622,Manual,3918.83,98.58,Medium,Standard
2023-01-10 23:00:00,Europe-North,Compute,829,Auto,4247.08,99.42,Medium,Premium
2023-01-11 00:00:00,India-West,Compute,612,Auto,4703.55,98.88,High,Standard
2023-01-11 01:00:00,US-East,Storage,270,Auto,4028.69,95.59,High,Premium
2023-01-11 02:00:00,US-East,Storage,949,Auto,4903.74,99.67,Medium,Mission-Critical
2023-01-11 03:00:00,India-West,Compute,893,Manual,3761.69,97.61,Medium,Premium
2023-01-11 04:00:00,India-West,Storage,664,Manual,3341.46,98.71,Medium,Premium
2023-01-11 05:00:00,India-West,Compute,224,Auto,3497.41,96.01,Low,Standard
2023-01-11 06:00:00,India-South,Compute,274,Auto,4510.4,97.74,Medium,Standard
2023-01-11 07:00:00,US-East,Storage,603,Auto,3446.74,96.65,High,Standard
2023-01-11 08:00:00,India-South,Compute,876,Hybrid,3829.91,99.87,Medium,Standard
2023-01-11 09:00:00,India-West,Storage,876,Hybrid,1158.45,97.37,High,Standard
2023-01-11 10:00:00,US-East,Compute,484,Manual,4571.98,98.78,Low,Mission-Critical
2023-01-11 11:00:00,India-South,Compute,810,Hybrid,2291.34,98.02,Low,Mission-Critical
2023-01-11 12:00:00,India-South,Compute,867,Hybrid,889.23,95.47,Low,Mission-Critical
2023-01-11 13:00:00,India-West,Compute,783,Auto,4018.96,97.71,Low,Standard
2023-01-11 14:00:00,US-East,Storage,670,Auto,1846.33,97.7,Medium,Premium
2023-01-11 15:00:00,India-West,Compute,205,Hybrid,1002.18,98.58,High,Premium
2023-01-11 16:00:00,US-East,Storage,736,Hybrid,1355.63,96.61,High,Premium
2023-01-11 17:00:00,Europe-North,Storage,627,Hybrid,271.25,99.3,Low,Premium
2023-01-11 18:00:00,US-West,Compute,137,Auto,544.05,98.11,High,Standard
2023-01-11 19:00:00,US-West,Storage,494,Manual,3003.86,95.2,Low,Premium
2023-01-11 20:00:00,US-West,Compute,854,Hybrid,4344.47,98.53,High,Premium
2023-01-11 21:00:00,India-West,Storage,576,Manual,2297.8,99.53,Low,Standard
2023-01-11 22:00:00,Europe-North,Storage,566,Manual,3167.68,98.42,High,Premium
2023-01-11 23:00:00,US-East,Compute,821,Hybrid,4067.69,96.9,Medium,Mission-Critical
2023-01-12 00:00:00,India-South,Compute,604,Manual,1848.17,97.95,Medium,Premium
2023-01-12 01:00:00,US-East,Storage,414,Auto,3306.14,95.86,Medium,Mission-Critical
2023-01-12 02:00:00,India-South,Compute,384,Hybrid,1817.12,98.01,Medium,Mission-Critical
2023-01-12 03:00:00,US-East,Compute,563,Hybrid,3249.31,97.5,Low,Standard
2023-01-12 04:00:00,Europe-North,Storage,779,Hybrid,1166.28,95.13,High,Mission-Critical
2023-01-12 05:00:00,India-South,Storage,363,Hybrid,4891.41,96.61,High,Premium
2023-01-12 06:00:00,India-West,Compute,709,Auto,473.27,95.96,Medium,Standard
2023-01-12 07:00:00,US-East,Storage,745,Auto,2575.64,96.95,Medium,Mission-Critical
2023-01-12 08:00:00,US-East,Compute,528,Manual,1502.85,96.21,Medium,Mission-Critical
2023-01-12 09:00:00,India-South,Compute,464,Hybrid,3044.11,99.17,High,Mission-Critical
2023-01-12 10:00:00,India-West,Storage,280,Hybrid,2198.7,98.49,Low,Mission-Critical
2023-01-12 11:00:00,India-West,Compute,833,Manual,1602.66,98.7,Medium,Premium
2023-01-12 12:00:00,Europe-North,Storage,975,Auto,1325.18,96.8,Medium,Premium
2023-01-12 13:00:00,India-West,Compute,760,Hybrid,994.24,95.02,High,Standard
2023-01-12 14:00:00,India-West,Compute,343,Manual,3936.11,96.1,Low,Standard
2023-01-12 15:00:00,India-West,Compute,412,Auto,1188.78,98.78,Medium,Mission-Critical
2023-01-12 16:00:00,US-West,Storage,175,Manual,3890.28,98.01,Low,Premium
2023-01-12 17:00:00,Europe-North,Storage,980,Manual,2476.69,97.69,Medium,Premium
2023-01-12 18:00:00,US-East,Compute,361,Auto,453.92,96.4,High,Mission-Critical
2023-01-12 19:00:00,India-South,Storage,330,Hybrid,910.67,95.38,Low,Standard
2023-01-12 20:00:00,US-East,Storage,802,Auto,4475.23,98.92,High,Mission-Critical
2023-01-12 21:00:00,Europe-North,Compute,479,Hybrid,3053.8,95.19,Medium,Standard
2023-01-12 22:00:00,India-South,Storage,745,Auto,1003.23,95.3,High,Premium
2023-01-12 23:00:00,Europe-North,Storage,408,Hybrid,3548.45,96.47,Medium,Mission-Critical
2023-01-13 00:00:00,India-West,Storage,863,Hybrid,4133.98,97.86,Medium,Standard
2023-01-13 01:00:00,India-South,Compute,487,Manual,1720.2,99.96,Medium,Standard
2023-01-13 02:00:00,India-West,Compute,856,Manual,2827.32,95.45,Medium,Standard
2023-01-13 03:00:00,US-East,Storage,876,Hybrid,1537.9,97.37,High,Mission-Critical
2023-01-13 04:00:00,US-East,Compute,424,Auto,492.3,98.01,Medium,Mission-Critical
2023-01-13 05:00:00,India-South,Storage,941,Hybrid,2057.59,99.12,Medium,Premium
2023-01-13 06:00:00,India-South,Compute,978,Auto,3782.02,98.45,Medium,Standard
2023-01-13 07:00:00,Europe-North,Storage,555,Hybrid,2347.53,99.04,High,Mission-Critical
2023-01-13 08:00:00,Europe-North,Compute,611,Auto,2085.82,97.61,High,Mission-Critical
2023-01-13 09:00:00,India-West,Storage,442,Manual,1893.44,97.17,Medium,Premium
2023-01-13 10:00:00,India-South,Compute,615,Auto,2348.69,98.09,Medium,Standard
2023-01-13 11:00:00,US-East,Storage,541,Manual,1659.32,99.5,Medium,Mission-Critical
2023-01-13 12:00:00,Europe-North,Compute,648,Auto,3099.7,97.75,Medium,Mission-Critical
2023-01-13 13:00:00,Europe-North,Compute,682,Manual,411.47,98.03,High,Mission-Critical
2023-01-13 14:00:00,US-East,Compute,361,Auto,4056.2,96.69,Low,Mission-Critical
2023-01-13 15:00:00,Europe-North,Storage,848,Hybrid,948.52,97.98,Low,Premium
2023-01-13 16:00:00,India-West,Storage,918,Auto,3203.88,98.14,High,Premium
2023-01-13 17:00:00,India-South,Storage,562,Manual,2304.42,98.77,Low,Standard
2023-01-13 18:00:00,US-East,Compute,966,Manual,3890.12,97.86,High,Premium
